uid,slug,name,state,area_ha,n_buildings,cls,start_period,start_is_pseudo,review_type,period,offset,n_valid,clear_frac,rmse,vegetation,soil,high_albedo,low_albedo,ndvi,ndbi,swir,soil_area_m2,high_albedo_area_m2,chip
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2023-06-H1,-43,9266,1.0,0.03173,0.38338,0.00251,4e-05,0.61406,0.82009,-0.37981,0.14414,0.0,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2023-06-H1.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2023-06-H2,-42,1352,0.1512,0.01777,0.45352,0.00144,0.02996,0.51507,0.69386,-0.32744,0.19545,0.0,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2023-06-H2.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2023-07-H1,-41,9266,1.0,0.03065,0.40222,0.00318,5e-05,0.59455,0.84854,-0.30348,0.17229,0.0,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2023-07-H1.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2023-07-H2,-40,9266,1.0,0.03169,0.38247,0.00295,5e-05,0.61453,0.85054,-0.29905,0.16794,0.0,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2023-07-H2.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2023-08-H1,-39,9266,1.0,0.02524,0.30625,0.00156,0.00796,0.68423,0.60089,-0.35135,0.14024,0.0,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2023-08-H1.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2023-08-H2,-38,8628,0.9649,0.03287,0.3588,0.00415,0.00056,0.6365,0.82473,-0.30552,0.15997,0.0,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2023-08-H2.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2023-09-H1,-37,9266,1.0,0.04779,0.26574,0.00192,0.0,0.73234,0.86579,-0.33364,0.12278,0.0,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2023-09-H1.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2023-09-H2,-36,9266,1.0,0.04237,0.25213,0.00262,0.0,0.74525,0.82505,-0.31469,0.12453,0.0,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2023-09-H2.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2023-10-H1,-35,9266,1.0,0.04187,0.26187,0.00363,0.0,0.7345,0.8143,-0.28886,0.1331,0.0,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2023-10-H1.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2023-10-H2,-34,8524,0.9533,0.04908,0.2277,0.00327,0.0,0.76903,0.81444,-0.26876,0.12645,0.0,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2023-10-H2.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2023-11-H1,-33,9220,1.0,0.04456,0.18795,0.00551,0.0,0.80654,0.67771,-0.15089,0.14077,0.0,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2023-11-H1.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2023-11-H2,-32,9260,1.0,0.04443,0.17025,0.00798,0.0,0.82177,0.66436,-0.12301,0.14053,0.0,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2023-11-H2.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2023-12-H1,-31,9210,1.0,0.04667,0.1332,0.00678,0.0,0.86002,0.67064,-0.08831,0.13061,0.0,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2023-12-H1.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2023-12-H2,-30,8901,0.9954,0.04587,0.14511,0.00877,0.0,0.84613,0.66421,-0.0786,0.13803,0.0,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2023-12-H2.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2024-01-H1,-29,9266,1.0,0.04583,0.10248,0.00529,0.0,0.89223,0.61321,-0.14192,0.10471,0.0,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2024-01-H1.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2024-01-H2,-28,6393,0.7149,0.04068,0.04135,2e-05,0.00516,0.95348,0.30846,-0.42497,0.05135,0.0,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2024-01-H2.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2024-02-H1,-27,9266,1.0,0.03997,0.15386,0.0295,5e-05,0.81658,0.61799,-0.0435,0.15815,0.0,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2024-02-H1.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2024-02-H2,-26,9262,1.0,0.0351,0.16514,0.03459,0.00033,0.79994,0.55615,-0.05175,0.16392,0.0,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2024-02-H2.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2024-03-H2,-24,9262,1.0,0.02786,0.16444,0.10616,0.00287,0.72652,0.47064,-0.01093,0.20146,0.0,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2024-03-H2.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2024-04-H1,-23,9266,1.0,0.02976,0.14743,0.10607,0.00444,0.74206,0.46244,-0.007,0.19519,6988.39498,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2024-04-H1.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2024-04-H2,-22,9266,1.0,0.02155,0.25439,0.1715,0.01291,0.56119,0.54785,-0.1236,0.23382,125391.77281,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2024-04-H2.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2024-05-H1,-21,9266,1.0,0.02749,0.25259,0.15027,0.01266,0.58448,0.5812,-0.16615,0.21209,68286.60239,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2024-05-H1.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2024-05-H2,-20,9266,1.0,0.02844,0.2589,0.11474,0.01104,0.61532,0.58897,-0.17113,0.19794,24758.88508,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2024-05-H2.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2024-06-H1,-19,9266,1.0,0.02299,0.31286,0.21484,0.03311,0.43919,0.56873,-0.16516,0.26361,226024.66054,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2024-06-H1.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2024-06-H2,-18,9266,1.0,0.02226,0.29601,0.22807,0.03132,0.4446,0.55254,-0.14246,0.27005,238404.10308,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2024-06-H2.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2024-07-H1,-17,9266,1.0,0.03181,0.25619,0.09655,0.01049,0.63677,0.59618,-0.1917,0.18635,3494.19749,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2024-07-H1.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2024-07-H2,-16,9266,1.0,0.02877,0.23272,0.18537,0.01563,0.56629,0.56738,-0.15629,0.22173,189984.50928,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2024-07-H2.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2024-08-H1,-15,769,0.086,0.02032,0.36082,0.0136,0.01544,0.61015,0.69348,-0.30578,0.17032,0.0,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2024-08-H1.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2024-08-H2,-14,9266,1.0,0.02887,0.20174,0.1785,0.0134,0.60635,0.55345,-0.15041,0.20956,171315.51126,499.17107,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2024-08-H2.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2024-09-H1,-13,9266,1.0,0.03342,0.20789,0.13932,0.01956,0.63322,0.57636,-0.1729,0.19552,108419.95643,599.00528,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2024-09-H1.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2024-09-H2,-12,3761,0.4206,0.01837,0.21482,0.14691,0.02128,0.61699,0.47303,-0.09827,0.22112,29550.92735,499.17107,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2024-09-H2.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2024-10-H1,-11,9266,1.0,0.03393,0.18599,0.13402,0.01542,0.66456,0.57283,-0.13321,0.19207,95541.34282,698.8395,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2024-10-H1.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2024-10-H2,-10,9266,1.0,0.03239,0.14861,0.15456,0.01651,0.68032,0.47074,-0.0464,0.20716,119102.21733,599.00528,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2024-10-H2.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2024-11-H1,-9,8987,1.0,0.03468,0.14831,0.14595,0.01579,0.68995,0.45912,-0.0194,0.21052,97038.85603,599.00528,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2024-11-H1.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2024-11-H2,-8,9005,1.0,0.03459,0.13816,0.07813,0.00847,0.77525,0.45515,-0.02905,0.17429,4392.70542,998.34214,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2024-11-H2.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2024-12-H1,-7,9230,1.0,0.03379,0.13263,0.1249,0.01756,0.72491,0.44715,-0.02128,0.19548,53311.47029,4592.37384,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2024-12-H1.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2024-12-H2,-6,9266,1.0,0.03545,0.11479,0.03156,0.0131,0.84055,0.46014,-0.02757,0.14869,0.0,9983.4214,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2024-12-H2.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2025-01-H1,-5,2052,0.2295,0.04156,0.16753,0.0,0.0072,0.82527,0.61555,-0.40421,0.08546,0.0,0.0,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2025-01-H1.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2025-01-H2,-4,9034,1.0,0.03242,0.11897,0.08447,0.01747,0.7791,0.43513,-0.00714,0.17922,3693.86592,11181.43197,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2025-01-H2.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2025-02-H1,-3,5900,0.6598,0.02586,0.1017,0.04531,0.02315,0.82984,0.35938,-0.04196,0.15201,99.83421,6888.56077,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2025-02-H1.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2025-02-H2,-2,8869,0.9918,0.03253,0.13414,0.07172,0.0076,0.78653,0.43453,-0.00511,0.17682,399.33686,1497.51321,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2025-02-H2.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2025-03-H1,-1,9266,1.0,0.03166,0.10793,0.13271,0.01885,0.74051,0.40786,0.02308,0.19869,34642.47226,12878.61361,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2025-03-H1.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2025-03-H2,0,9263,1.0,0.03299,0.11712,0.14166,0.02062,0.7206,0.41411,0.04338,0.21332,37837.16711,12678.94518,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2025-03-H2.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2025-04-H1,1,9258,1.0,0.02427,0.15941,0.14002,0.02569,0.67487,0.41527,-0.01942,0.21951,13677.28732,13377.78468,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2025-04-H1.png
eaab3189-fef6-4564-bd82-bd4b6d81c77b,amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189,Amazon Data Services Inc C/O Amazon.Com Inc / Attn: Prop Tax Campus,VA,89.79,7,positive,2025-03-H2,False,Expansion,2025-04-H2,2,8922,0.9978,0.02615,0.16861,0.13869,0.01366,0.67905,0.46239,-0.04141,0.21187,57404.67306,1896.85007,results/chips_pos16par/amazon-data-services-inc-c-o-amazon-com-inc-attn-eaab3189/2025-04-H2.png
